name,slug,voivodeship,teryt,kind
Brzeg Dolny - miasto (4),brzeg-dolny-miasto-4,dolnośląskie,0222014,miasto w gminie miejsko-wiejskiej
Brzesko - miasto (4),brzesko-miasto-4,małopolskie,1202024,miasto w gminie miejsko-wiejskiej
Brzeszcze - miasto (4),brzeszcze-miasto-4,małopolskie,1213024,miasto w gminie miejsko-wiejskiej
Brzeziny (1),brzeziny-1,łódzkie,1021011,gmina miejska
Brześć Kujawski - miasto (4),brzesc-kujawski-miasto-4,kujawsko-pomorskie,0418044,miasto w gminie miejsko-wiejskiej
Brzostek - miasto (4),brzostek-miasto-4,podkarpackie,1803024,miasto w gminie miejsko-wiejskiej
Brzozów - miasto (4),brzozow-miasto-4,podkarpackie,1802014,miasto w gminie miejsko-wiejskiej
Budzyń - miasto (4),budzyn-miasto-4,wielkopolskie,3001024,miasto w gminie miejsko-wiejskiej
Buk - miasto (4),buk-miasto-4,wielkopolskie,3021034,miasto w gminie miejsko-wiejskiej
Bukowno (1),bukowno-1,małopolskie,1212011,gmina miejska
Busko-Zdrój - miasto (4),busko-zdroj-miasto-4,świętokrzyskie,2601014,miasto w gminie miejsko-wiejskiej
Bychawa - miasto (4),bychawa-miasto-4,lubelskie,0609034,miasto w gminie miejsko-wiejskiej
Byczyna - miasto (4),byczyna-miasto-4,opolskie,1604014,miasto w gminie miejsko-wiejskiej
Bydgoszcz (1),bydgoszcz-1,kujawsko-pomorskie,0461011,gmina miejska
Bystrzyca Kłodzka - miasto (4),bystrzyca-klodzka-miasto-4,dolnośląskie,0208064,miasto w gminie miejsko-wiejskiej
Bytom (1),bytom-1,śląskie,2462011,gmina miejska
Bytom Odrzański - miasto (4),bytom-odrzanski-miasto-4,lubuskie,0804024,miasto w gminie miejsko-wiejskiej
Bytów - miasto (4),bytow-miasto-4,pomorskie,2201024,miasto w gminie miejsko-wiejskiej
Będzin (1),bedzin-1,śląskie,2401011,gmina miejska
Błaszki - miasto (4),blaszki-miasto-4,łódzkie,1014024,miasto w gminie miejsko-wiejskiej
Błażowa - miasto (4),blazowa-miasto-4,podkarpackie,1816024,miasto w gminie miejsko-wiejskiej
Błonie - miasto (4),blonie-miasto-4,mazowieckie,1432014,miasto w gminie miejsko-wiejskiej
Cedynia - miasto (4),cedynia-miasto-4,zachodniopomorskie,3206024,miasto w gminie miejsko-wiejskiej
Cegłów - miasto (4),ceglow-miasto-4,mazowieckie,1412044,miasto w gminie miejsko-wiejskiej
Chełm (1),chelm-1,lubelskie,0662011,gmina miejska
Chełmek - miasto (4),chelmek-miasto-4,małopolskie,1213034,miasto w gminie miejsko-wiejskiej
Chełmno (1),chelmno-1,kujawsko-pomorskie,0404011,gmina miejska
Chełmża (1),chelmza-1,kujawsko-pomorskie,0415011,gmina miejska
Chmielnik - miasto (4),chmielnik-miasto-4,świętokrzyskie,2604044,miasto w gminie miejsko-wiejskiej
Chocianów - miasto (4),chocianow-miasto-4,dolnośląskie,0216014,miasto w gminie miejsko-wiejskiej
Chociwel - miasto (4),chociwel-miasto-4,zachodniopomorskie,3214024,miasto w gminie miejsko-wiejskiej
Chocz - miasto (4),chocz-miasto-4,wielkopolskie,3020014,miasto w gminie miejsko-wiejskiej
Chodecz - miasto (4),chodecz-miasto-4,kujawsko-pomorskie,0418064,miasto w gminie miejsko-wiejskiej
Chodzież (1),chodziez-1,wielkopolskie,3001011,gmina miejska
Chojna - miasto (4),chojna-miasto-4,zachodniopomorskie,3206034,miasto w gminie miejsko-wiejskiej
Chojnice (1),chojnice-1,pomorskie,2202011,gmina miejska
Chojnów (1),chojnow-1,dolnośląskie,0209011,gmina miejska
Choroszcz - miasto (4),choroszcz-miasto-4,podlaskie,2002014,miasto w gminie miejsko-wiejskiej
Chorzele - miasto (4),chorzele-miasto-4,mazowieckie,1422024,miasto w gminie miejsko-wiejskiej
Chorzów (1),chorzow-1,śląskie,2463011,gmina miejska
Choszczno - miasto (4),choszczno-miasto-4,zachodniopomorskie,3202024,miasto w gminie miejsko-wiejskiej
Chrzanów - miasto (4),chrzanow-miasto-4,małopolskie,1203034,miasto w gminie miejsko-wiejskiej
Chęciny - miasto (4),checiny-miasto-4,świętokrzyskie,2604034,miasto w gminie miejsko-wiejskiej
Ciechanowiec - miasto (4),ciechanowiec-miasto-4,podlaskie,2013024,miasto w gminie miejsko-wiejskiej
Ciechanów (1),ciechanow-1,mazowieckie,1402011,gmina miejska
Ciechocinek (1),ciechocinek-1,kujawsko-pomorskie,0401021,gmina miejska
Ciepielów - miasto (4),ciepielow-miasto-4,mazowieckie,1409024,miasto w gminie miejsko-wiejskiej
Cieszanów - miasto (4),cieszanow-miasto-4,podkarpackie,1809024,miasto w gminie miejsko-wiejskiej
Cieszyn (1),cieszyn-1,śląskie,2403011,gmina miejska
Ciężkowice - miasto (4),ciezkowice-miasto-4,małopolskie,1216014,miasto w gminie miejsko-wiejskiej
Cybinka - miasto (4),cybinka-miasto-4,lubuskie,0805014,miasto w gminie miejsko-wiejskiej
Czaplinek - miasto (4),czaplinek-miasto-4,zachodniopomorskie,3203014,miasto w gminie miejsko-wiejskiej
Czarna Białostocka - miasto (4),czarna-bialostocka-miasto-4,podlaskie,2002024,miasto w gminie miejsko-wiejskiej
Czarna Woda - miasto (4),czarna-woda-miasto-4,pomorskie,2213014,miasto w gminie miejsko-wiejskiej
Czarne - miasto (4),czarne-miasto-4,pomorskie,2203024,miasto w gminie miejsko-wiejskiej
Czarnków (1),czarnkow-1,wielkopolskie,3002011,gmina miejska
Czarny Dunajec - miasto (4),czarny-dunajec-miasto-4,małopolskie,1211034,miasto w gminie miejsko-wiejskiej
Czchów - miasto (4),czchow-miasto-4,małopolskie,1202034,miasto w gminie miejsko-wiejskiej
Czechowice-Dziedzice - miasto (4),czechowice-dziedzice-miasto-4,śląskie,2402044,miasto w gminie miejsko-wiejskiej
Czeladź (1),czeladz-1,śląskie,2401021,gmina miejska
Czemierniki - miasto (4),czemierniki-miasto-4,lubelskie,0615034,miasto w gminie miejsko-wiejskiej
Czempiń - miasto (4),czempin-miasto-4,wielkopolskie,3011024,miasto w gminie miejsko-wiejskiej
Czerniejewo - miasto (4),czerniejewo-miasto-4,wielkopolskie,3003024,miasto w gminie miejsko-wiejskiej
Czersk - miasto (4),czersk-miasto-4,pomorskie,2202044,miasto w gminie miejsko-wiejskiej
Czerwieńsk - miasto (4),czerwiensk-miasto-4,lubuskie,0809034,miasto w gminie miejsko-wiejskiej
Czerwionka-Leszczyny - miasto (4),czerwionka-leszczyny-miasto-4,śląskie,2412014,miasto w gminie miejsko-wiejskiej
Czerwińsk nad Wisłą - miasto (4),czerwinsk-nad-wisla-miasto-4,mazowieckie,1420044,miasto w gminie miejsko-wiejskiej
Czyżew - miasto (4),czyzew-miasto-4,podlaskie,2013034,miasto w gminie miejsko-wiejskiej
Częstochowa (1),czestochowa-1,śląskie,2464011,gmina miejska
Człopa - miasto (4),czlopa-miasto-4,zachodniopomorskie,3217024,miasto w gminie miejsko-wiejskiej
Człuchów (1),czluchow-1,pomorskie,2203011,gmina miejska
Daleszyce - miasto (4),daleszyce-miasto-4,świętokrzyskie,2604054,miasto w gminie miejsko-wiejskiej
Darłowo (1),darlowo-1,zachodniopomorskie,3213011,gmina miejska
Debrzno - miasto (4),debrzno-miasto-4,pomorskie,2203044,miasto w gminie miejsko-wiejskiej
Dobczyce - miasto (4),dobczyce-miasto-4,małopolskie,1209014,miasto w gminie miejsko-wiejskiej
Dobiegniew - miasto (4),dobiegniew-miasto-4,lubuskie,0806014,miasto w gminie miejsko-wiejskiej
Dobra - miasto (4),dobra-miasto-4,wielkopolskie,3027034,miasto w gminie miejsko-wiejskiej
Dobra - miasto (4),dobra-miasto-4-zachodniopomorskie,zachodniopomorskie,3218014,miasto w gminie miejsko-wiejskiej
Dobre - miasto (4),dobre-miasto-4,mazowieckie,1412064,miasto w gminie miejsko-wiejskiej
Dobre Miasto - miasto (4),dobre-miasto-miasto-4,warmińsko-mazurskie,2814034,miasto w gminie miejsko-wiejskiej
Dobrodzień - miasto (4),dobrodzien-miasto-4,opolskie,1608014,miasto w gminie miejsko-wiejskiej
Dobrzany - miasto (4),dobrzany-miasto-4,zachodniopomorskie,3214034,miasto w gminie miejsko-wiejskiej
Dobrzyca - miasto (4),dobrzyca-miasto-4,wielkopolskie,3020034,miasto w gminie miejsko-wiejskiej
Dobrzyń nad Wisłą - miasto (4),dobrzyn-nad-wisla-miasto-4,kujawsko-pomorskie,0408044,miasto w gminie miejsko-wiejskiej
Dolsk - miasto (4),dolsk-miasto-4,wielkopolskie,3026024,miasto w gminie miejsko-wiejskiej
Drawno - miasto (4),drawno-miasto-4,zachodniopomorskie,3202034,miasto w gminie miejsko-wiejskiej
Drawsko Pomorskie - miasto (4),drawsko-pomorskie-miasto-4,zachodniopomorskie,3203024,miasto w gminie miejsko-wiejskiej
Drezdenko - miasto (4),drezdenko-miasto-4,lubuskie,0806024,miasto w gminie miejsko-wiejskiej
Drobin - miasto (4),drobin-miasto-4,mazowieckie,1419054,miasto w gminie miejsko-wiejskiej
Drohiczyn - miasto (4),drohiczyn-miasto-4,podlaskie,2010024,miasto w gminie miejsko-wiejskiej
Drzewica - miasto (4),drzewica-miasto-4,łódzkie,1007024,miasto w gminie miejsko-wiejskiej
Dubiecko - miasto (4),dubiecko-miasto-4,podkarpackie,1813024,miasto w gminie miejsko-wiejskiej
Dukla - miasto (4),dukla-miasto-4,podkarpackie,1807024,miasto w gminie miejsko-wiejskiej
Duszniki-Zdrój (1),duszniki-zdroj-1,dolnośląskie,0208011,gmina miejska
Dynów (1),dynow-1,podkarpackie,1816011,gmina miejska
Działdowo (1),dzialdowo-1,warmińsko-mazurskie,2803011,gmina miejska
Działoszyce - miasto (4),dzialoszyce-miasto-4,świętokrzyskie,2608014,miasto w gminie miejsko-wiejskiej
Działoszyn - miasto (4),dzialoszyn-miasto-4,łódzkie,1009014,miasto w gminie miejsko-wiejskiej
Dzierzgoń - miasto (4),dzierzgon-miasto-4,pomorskie,2216014,miasto w gminie miejsko-wiejskiej
Dzierżoniów (1),dzierzoniow-1,dolnośląskie,0202021,gmina miejska
