name,slug,voivodeship,teryt,kind
Józefów nad Wisłą - miasto (4),jozefow-nad-wisla-miasto-4,lubelskie,0612024,miasto w gminie miejsko-wiejskiej
Jędrzejów - miasto (4),jedrzejow-miasto-4,świętokrzyskie,2602024,miasto w gminie miejsko-wiejskiej
Kaczory - miasto (4),kaczory-miasto-4,wielkopolskie,3019034,miasto w gminie miejsko-wiejskiej
Kalety (1),kalety-1,śląskie,2413011,gmina miejska
Kalisz (1),kalisz-1,wielkopolskie,3061011,gmina miejska
Kalisz Pomorski - miasto (4),kalisz-pomorski-miasto-4,zachodniopomorskie,3203034,miasto w gminie miejsko-wiejskiej
Kalwaria Zebrzydowska - miasto (4),kalwaria-zebrzydowska-miasto-4,małopolskie,1218034,miasto w gminie miejsko-wiejskiej
Kamieniec Ząbkowicki - miasto (4),kamieniec-zabkowicki-miasto-4,dolnośląskie,0224034,miasto w gminie miejsko-wiejskiej
Kamienna Góra (1),kamienna-gora-1,dolnośląskie,0207011,gmina miejska
Kamień Krajeński - miasto (4),kamien-krajenski-miasto-4,kujawsko-pomorskie,0413014,miasto w gminie miejsko-wiejskiej
Kamień Pomorski - miasto (4),kamien-pomorski-miasto-4,zachodniopomorskie,3207034,miasto w gminie miejsko-wiejskiej
Kamieńsk - miasto (4),kamiensk-miasto-4,łódzkie,1012054,miasto w gminie miejsko-wiejskiej
Kamionka - miasto (4),kamionka-miasto-4,lubelskie,0608054,miasto w gminie miejsko-wiejskiej
Karczew - miasto (4),karczew-miasto-4,mazowieckie,1417044,miasto w gminie miejsko-wiejskiej
Kargowa - miasto (4),kargowa-miasto-4,lubuskie,0809044,miasto w gminie miejsko-wiejskiej
Karlino - miasto (4),karlino-miasto-4,zachodniopomorskie,3201034,miasto w gminie miejsko-wiejskiej
Karpacz (1),karpacz-1,dolnośląskie,0206011,gmina miejska
Kartuzy - miasto (4),kartuzy-miasto-4,pomorskie,2205024,miasto w gminie miejsko-wiejskiej
Katowice (1),katowice-1,śląskie,2469011,gmina miejska
Kazanów - miasto (4),kazanow-miasto-4,mazowieckie,1436014,miasto w gminie miejsko-wiejskiej
Kazimierz Dolny - miasto (4),kazimierz-dolny-miasto-4,lubelskie,0614044,miasto w gminie miejsko-wiejskiej
Kazimierza Wielka - miasto (4),kazimierza-wielka-miasto-4,świętokrzyskie,2603034,miasto w gminie miejsko-wiejskiej
Kałuszyn - miasto (4),kaluszyn-miasto-4,mazowieckie,1412094,miasto w gminie miejsko-wiejskiej
Kańczuga - miasto (4),kanczuga-miasto-4,podkarpackie,1814054,miasto w gminie miejsko-wiejskiej
Kcynia - miasto (4),kcynia-miasto-4,kujawsko-pomorskie,0410014,miasto w gminie miejsko-wiejskiej
Kielce (1),kielce-1,świętokrzyskie,2661011,gmina miejska
Kiernozia - miasto (4),kiernozia-miasto-4,łódzkie,1005054,miasto w gminie miejsko-wiejskiej
Kietrz - miasto (4),kietrz-miasto-4,opolskie,1602044,miasto w gminie miejsko-wiejskiej
Kikół - miasto (4),kikol-miasto-4,kujawsko-pomorskie,0408054,miasto w gminie miejsko-wiejskiej
Kisielice - miasto (4),kisielice-miasto-4,warmińsko-mazurskie,2807044,miasto w gminie miejsko-wiejskiej
Kleczew - miasto (4),kleczew-miasto-4,wielkopolskie,3010044,miasto w gminie miejsko-wiejskiej
Kleszczele - miasto (4),kleszczele-miasto-4,podlaskie,2005074,miasto w gminie miejsko-wiejskiej
Klimontów - miasto (4),klimontow-miasto-4,świętokrzyskie,2609034,miasto w gminie miejsko-wiejskiej
Kluczbork - miasto (4),kluczbork-miasto-4,opolskie,1604024,miasto w gminie miejsko-wiejskiej
Knurów (1),knurow-1,śląskie,2405011,gmina miejska
Knyszyn - miasto (4),knyszyn-miasto-4,podlaskie,2008044,miasto w gminie miejsko-wiejskiej
Kobylin - miasto (4),kobylin-miasto-4,wielkopolskie,3012024,miasto w gminie miejsko-wiejskiej
Kobylnica - miasto (4),kobylnica-miasto-4,pomorskie,2212064,miasto w gminie miejsko-wiejskiej
Kobyłka (1),kobylka-1,mazowieckie,1434011,gmina miejska
Kock - miasto (4),kock-miasto-4,lubelskie,0608064,miasto w gminie miejsko-wiejskiej
Kolbuszowa - miasto (4),kolbuszowa-miasto-4,podkarpackie,1806024,miasto w gminie miejsko-wiejskiej
Kolno (1),kolno-1,podlaskie,2006011,gmina miejska
Kolonowskie - miasto (4),kolonowskie-miasto-4,opolskie,1611034,miasto w gminie miejsko-wiejskiej
Koluszki - miasto (4),koluszki-miasto-4,łódzkie,1006074,miasto w gminie miejsko-wiejskiej
Koniecpol - miasto (4),koniecpol-miasto-4,śląskie,2404064,miasto w gminie miejsko-wiejskiej
Konin (1),konin-1,wielkopolskie,3062011,gmina miejska
Konstancin-Jeziorna - miasto (4),konstancin-jeziorna-miasto-4,mazowieckie,1418024,miasto w gminie miejsko-wiejskiej
Konstantynów Łódzki (1),konstantynow-lodzki-1,łódzkie,1008011,gmina miejska
Koprzywnica - miasto (4),koprzywnica-miasto-4,świętokrzyskie,2609044,miasto w gminie miejsko-wiejskiej
Korfantów - miasto (4),korfantow-miasto-4,opolskie,1607034,miasto w gminie miejsko-wiejskiej
Koronowo - miasto (4),koronowo-miasto-4,kujawsko-pomorskie,0403044,miasto w gminie miejsko-wiejskiej
Korsze - miasto (4),korsze-miasto-4,warmińsko-mazurskie,2808044,miasto w gminie miejsko-wiejskiej
Kostrzyn - miasto (4),kostrzyn-miasto-4,wielkopolskie,3021084,miasto w gminie miejsko-wiejskiej
Kostrzyn nad Odrą (1),kostrzyn-nad-odra-1,lubuskie,0801011,gmina miejska
Koszalin (1),koszalin-1,zachodniopomorskie,3261011,gmina miejska
Koszyce - miasto (4),koszyce-miasto-4,małopolskie,1214024,miasto w gminie miejsko-wiejskiej
Kosów Lacki - miasto (4),kosow-lacki-miasto-4,mazowieckie,1429054,miasto w gminie miejsko-wiejskiej
Kowal (1),kowal-1,kujawsko-pomorskie,0418011,gmina miejska
Kowalewo Pomorskie - miasto (4),kowalewo-pomorskie-miasto-4,kujawsko-pomorskie,0405044,miasto w gminie miejsko-wiejskiej
Kowary (1),kowary-1,dolnośląskie,0206021,gmina miejska
Koziegłowy - miasto (4),kozieglowy-miasto-4,śląskie,2409024,miasto w gminie miejsko-wiejskiej
Kozienice - miasto (4),kozienice-miasto-4,mazowieckie,1407054,miasto w gminie miejsko-wiejskiej
Kołaczyce - miasto (4),kolaczyce-miasto-4,podkarpackie,1805054,miasto w gminie miejsko-wiejskiej
Koło (1),kolo-1,wielkopolskie,3009011,gmina miejska
Kołobrzeg (1),kolobrzeg-1,zachodniopomorskie,3208011,gmina miejska
Końskie - miasto (4),konskie-miasto-4,świętokrzyskie,2605034,miasto w gminie miejsko-wiejskiej
Końskowola - miasto (4),konskowola-miasto-4,lubelskie,0614054,miasto w gminie miejsko-wiejskiej
Kościan (1),koscian-1,wielkopolskie,3011011,gmina miejska
Kościerzyna (1),koscierzyna-1,pomorskie,2206011,gmina miejska
Koźmin Wielkopolski - miasto (4),kozmin-wielkopolski-miasto-4,wielkopolskie,3012034,miasto w gminie miejsko-wiejskiej
Koźminek - miasto (4),kozminek-miasto-4,wielkopolskie,3007054,miasto w gminie miejsko-wiejskiej
Kożuchów - miasto (4),kozuchow-miasto-4,lubuskie,0804044,miasto w gminie miejsko-wiejskiej
Krajenka - miasto (4),krajenka-miasto-4,wielkopolskie,3031034,miasto w gminie miejsko-wiejskiej
Kraków (1),krakow-1,małopolskie,1261011,gmina miejska
Krapkowice - miasto (4),krapkowice-miasto-4,opolskie,1605024,miasto w gminie miejsko-wiejskiej
Krasnobród - miasto (4),krasnobrod-miasto-4,lubelskie,0620044,miasto w gminie miejsko-wiejskiej
Krasnystaw (1),krasnystaw-1,lubelskie,0606011,gmina miejska
Kraśnik (1),krasnik-1,lubelskie,0607011,gmina miejska
Krobia - miasto (4),krobia-miasto-4,wielkopolskie,3004034,miasto w gminie miejsko-wiejskiej
Krosno (1),krosno-1,podkarpackie,1861011,gmina miejska
Krosno Odrzańskie - miasto (4),krosno-odrzanskie-miasto-4,lubuskie,0802064,miasto w gminie miejsko-wiejskiej
Krotoszyn - miasto (4),krotoszyn-miasto-4,wielkopolskie,3012044,miasto w gminie miejsko-wiejskiej
Krośniewice - miasto (4),krosniewice-miasto-4,łódzkie,1002044,miasto w gminie miejsko-wiejskiej
Kruszwica - miasto (4),kruszwica-miasto-4,kujawsko-pomorskie,0407064,miasto w gminie miejsko-wiejskiej
Krynica Morska (1),krynica-morska-1,pomorskie,2210011,gmina miejska
Krynica-Zdrój - miasto (4),krynica-zdroj-miasto-4,małopolskie,1210074,miasto w gminie miejsko-wiejskiej
Krynki - miasto (4),krynki-miasto-4,podlaskie,2011044,miasto w gminie miejsko-wiejskiej
Krzanowice - miasto (4),krzanowice-miasto-4,śląskie,2411034,miasto w gminie miejsko-wiejskiej
Krzepice - miasto (4),krzepice-miasto-4,śląskie,2406024,miasto w gminie miejsko-wiejskiej
Krzeszowice - miasto (4),krzeszowice-miasto-4,małopolskie,1206064,miasto w gminie miejsko-wiejskiej
Krzywiń - miasto (4),krzywin-miasto-4,wielkopolskie,3011044,miasto w gminie miejsko-wiejskiej
Krzyż Wielkopolski - miasto (4),krzyz-wielkopolski-miasto-4,wielkopolskie,3002044,miasto w gminie miejsko-wiejskiej
Książ Wielki - miasto (4),ksiaz-wielki-miasto-4,małopolskie,1208044,miasto w gminie miejsko-wiejskiej
Książ Wielkopolski - miasto (4),ksiaz-wielkopolski-miasto-4,wielkopolskie,3026034,miasto w gminie miejsko-wiejskiej
Kudowa-Zdrój (1),kudowa-zdroj-1,dolnośląskie,0208031,gmina miejska
Kunów - miasto (4),kunow-miasto-4,świętokrzyskie,2607054,miasto w gminie miejsko-wiejskiej
Kurów - miasto (4),kurow-miasto-4,lubelskie,0614064,miasto w gminie miejsko-wiejskiej
Kutno (1),kutno-1,łódzkie,1002011,gmina miejska
Kuźnia Raciborska - miasto (4),kuznia-raciborska-miasto-4,śląskie,2411054,miasto w gminie miejsko-wiejskiej
Kwidzyn (1),kwidzyn-1,pomorskie,2207011,gmina miejska
Kórnik - miasto (4),kornik-miasto-4,wielkopolskie,3021094,miasto w gminie miejsko-wiejskiej
Kąty Wrocławskie - miasto (4),katy-wroclawskie-miasto-4,dolnośląskie,0223044,miasto w gminie miejsko-wiejskiej
Kędzierzyn-Koźle (1),kedzierzyn-kozle-1,opolskie,1603011,gmina miejska
Kępice - miasto (4),kepice-miasto-4,pomorskie,2212054,miasto w gminie miejsko-wiejskiej
Kępno - miasto (4),kepno-miasto-4,wielkopolskie,3008034,miasto w gminie miejsko-wiejskiej
Kętrzyn (1),ketrzyn-1,warmińsko-mazurskie,2808011,gmina miejska
Kęty - miasto (4),kety-miasto-4,małopolskie,1213044,miasto w gminie miejsko-wiejskiej
Kłecko - miasto (4),klecko-miasto-4,wielkopolskie,3003054,miasto w gminie miejsko-wiejskiej
Kłobuck - miasto (4),klobuck-miasto-4,śląskie,2406014,miasto w gminie miejsko-wiejskiej
Kłodawa - miasto (4),klodawa-miasto-4,wielkopolskie,3009064,miasto w gminie miejsko-wiejskiej
Kłodzko (1),klodzko-1,dolnośląskie,0208021,gmina miejska
Latowicz - miasto (4),latowicz-miasto-4,mazowieckie,1412104,miasto w gminie miejsko-wiejskiej
Legionowo (1),legionowo-1,mazowieckie,1408011,gmina miejska
Legnica (1),legnica-1,dolnośląskie,0262011,gmina miejska
Lesko - miasto (4),lesko-miasto-4,podkarpackie,1821034,miasto w gminie miejsko-wiejskiej
Leszno (1),leszno-1,wielkopolskie,3063011,gmina miejska
Lewin Brzeski - miasto (4),lewin-brzeski-miasto-4,opolskie,1601044,miasto w gminie miejsko-wiejskiej
Leśna - miasto (4),lesna-miasto-4,dolnośląskie,0210034,miasto w gminie miejsko-wiejskiej
Leśnica - miasto (4),lesnica-miasto-4,opolskie,1611044,miasto w gminie miejsko-wiejskiej
Leżajsk (1),lezajsk-1,podkarpackie,1808011,gmina miejska
Libiąż - miasto (4),libiaz-miasto-4,małopolskie,1203044,miasto w gminie miejsko-wiejskiej
Lidzbark - miasto (4),lidzbark-miasto-4,warmińsko-mazurskie,2803044,miasto w gminie miejsko-wiejskiej
Lidzbark Warmiński (1),lidzbark-warminski-1,warmińsko-mazurskie,2809011,gmina miejska
Limanowa (1),limanowa-1,małopolskie,1207011,gmina miejska
Lipiany - miasto (4),lipiany-miasto-4,zachodniopomorskie,3212034,miasto w gminie miejsko-wiejskiej
Lipno (1),lipno-1,kujawsko-pomorskie,0408011,gmina miejska
Lipsk - miasto (4),lipsk-miasto-4,podlaskie,2001044,miasto w gminie miejsko-wiejskiej
Lipsko - miasto (4),lipsko-miasto-4,mazowieckie,1409034,miasto w gminie miejsko-wiejskiej
Lubaczów (1),lubaczow-1,podkarpackie,1809011,gmina miejska
Lubartów (1),lubartow-1,lubelskie,0608011,gmina miejska
Lubawa (1),lubawa-1,warmińsko-mazurskie,2807021,gmina miejska
Lubawka - miasto (4),lubawka-miasto-4,dolnośląskie,0207034,miasto w gminie miejsko-wiejskiej
Lubań (1),luban-1,dolnośląskie,0210011,gmina miejska
Lubień Kujawski - miasto (4),lubien-kujawski-miasto-4,kujawsko-pomorskie,0418114,miasto w gminie miejsko-wiejskiej
Lubin (1),lubin-1,dolnośląskie,0211011,gmina miejska
Lublin (1),lublin-1,lubelskie,0663011,gmina miejska
Lubliniec (1),lubliniec-1,śląskie,2407011,gmina miejska
Lubniewice - miasto (4),lubniewice-miasto-4,lubuskie,0807024,miasto w gminie miejsko-wiejskiej
Lubomierz - miasto (4),lubomierz-miasto-4,dolnośląskie,0212024,miasto w gminie miejsko-wiejskiej
Lubowidz - miasto (4),lubowidz-miasto-4,mazowieckie,1437034,miasto w gminie miejsko-wiejskiej
Luboń (1),lubon-1,wielkopolskie,3021011,gmina miejska
Lubraniec - miasto (4),lubraniec-miasto-4,kujawsko-pomorskie,0418124,miasto w gminie miejsko-wiejskiej
Lubsko - miasto (4),lubsko-miasto-4,lubuskie,0811064,miasto w gminie miejsko-wiejskiej
Lubycza Królewska - miasto (4),lubycza-krolewska-miasto-4,lubelskie,0618054,miasto w gminie miejsko-wiejskiej
Lutomiersk - miasto (4),lutomiersk-miasto-4,łódzkie,1008064,miasto w gminie miejsko-wiejskiej
Lututów - miasto (4),lututow-miasto-4,łódzkie,1018044,miasto w gminie miejsko-wiejskiej
Lwówek - miasto (4),lwowek-miasto-4,wielkopolskie,3015024,miasto w gminie miejsko-wiejskiej
Lwówek Śląski - miasto (4),lwowek-slaski-miasto-4,dolnośląskie,0212034,miasto w gminie miejsko-wiejskiej
Lądek-Zdrój - miasto (4),ladek-zdroj-miasto-4,dolnośląskie,0208084,miasto w gminie miejsko-wiejskiej
Lębork (1),lebork-1,pomorskie,2208011,gmina miejska
Lędziny (1),ledziny-1,śląskie,2414031,gmina miejska
M.st.Warszawa (1),m-st-warszawa-1,mazowieckie,1465011,gmina miejska
Maciejowice - miasto (4),maciejowice-miasto-4,mazowieckie,1403074,miasto w gminie miejsko-wiejskiej
Magnuszew - miasto (4),magnuszew-miasto-4,mazowieckie,1407064,miasto w gminie miejsko-wiejskiej
Maków Mazowiecki (1),makow-mazowiecki-1,mazowieckie,1411011,gmina miejska
Maków Podhalański - miasto (4),makow-podhalanski-miasto-4,małopolskie,1215064,miasto w gminie miejsko-wiejskiej
Malbork (1),malbork-1,pomorskie,2209011,gmina miejska
Margonin - miasto (4),margonin-miasto-4,wielkopolskie,3001044,miasto w gminie miejsko-wiejskiej
Marki (1),marki-1,mazowieckie,1434021,gmina miejska
Maszewo - miasto (4),maszewo-miasto-4,zachodniopomorskie,3204034,miasto w gminie miejsko-wiejskiej
Małkinia Górna - miasto (4),malkinia-gorna-miasto-4,mazowieckie,1416054,miasto w gminie miejsko-wiejskiej
Małogoszcz - miasto (4),malogoszcz-miasto-4,świętokrzyskie,2602034,miasto w gminie miejsko-wiejskiej
Małomice - miasto (4),malomice-miasto-4,lubuskie,0810054,miasto w gminie miejsko-wiejskiej
Miasteczko Krajeńskie - miasto (4),miasteczko-krajenskie-miasto-4,wielkopolskie,3019054,miasto w gminie miejsko-wiejskiej
Miasteczko Śląskie (1),miasteczko-slaskie-1,śląskie,2413021,gmina miejska
Miastko - miasto (4),miastko-miasto-4,pomorskie,2201064,miasto w gminie miejsko-wiejskiej
Michałowo - miasto (4),michalowo-miasto-4,podlaskie,2002074,miasto w gminie miejsko-wiejskiej
Miechów - miasto (4),miechow-miasto-4,małopolskie,1208054,miasto w gminie miejsko-wiejskiej
Miejska Górka - miasto (4),miejska-gorka-miasto-4,wielkopolskie,3022034,miasto w gminie miejsko-wiejskiej
Mielec (1),mielec-1,podkarpackie,1811011,gmina miejska
Mielno - miasto (4),mielno-miasto-4,zachodniopomorskie,3209054,miasto w gminie miejsko-wiejskiej
Mieroszów - miasto (4),mieroszow-miasto-4,dolnośląskie,0221064,miasto w gminie miejsko-wiejskiej
Mieszkowice - miasto (4),mieszkowice-miasto-4,zachodniopomorskie,3206054,miasto w gminie miejsko-wiejskiej
Mieścisko - miasto (4),miescisko-miasto-4,wielkopolskie,3028044,miasto w gminie miejsko-wiejskiej
Mikołajki - miasto (4),mikolajki-miasto-4,warmińsko-mazurskie,2810024,miasto w gminie miejsko-wiejskiej
Mikołów (1),mikolow-1,śląskie,2408021,gmina miejska
Mikstat - miasto (4),mikstat-miasto-4,wielkopolskie,3018064,miasto w gminie miejsko-wiejskiej
Milanówek (1),milanowek-1,mazowieckie,1405011,gmina miejska
Milicz - miasto (4),milicz-miasto-4,dolnośląskie,0213034,miasto w gminie miejsko-wiejskiej
Mirosławiec - miasto (4),miroslawiec-miasto-4,zachodniopomorskie,3217034,miasto w gminie miejsko-wiejskiej
Mirsk - miasto (4),mirsk-miasto-4,dolnośląskie,0212044,miasto w gminie miejsko-wiejskiej
Międzybórz - miasto (4),miedzyborz-miasto-4,dolnośląskie,0214054,miasto w gminie miejsko-wiejskiej
Międzychód - miasto (4),miedzychod-miasto-4,wielkopolskie,3014034,miasto w gminie miejsko-wiejskiej
Międzylesie - miasto (4),miedzylesie-miasto-4,dolnośląskie,0208104,miasto w gminie miejsko-wiejskiej
Międzyrzec Podlaski (1),miedzyrzec-podlaski-1,lubelskie,0601011,gmina miejska
Międzyrzecz - miasto (4),miedzyrzecz-miasto-4,lubuskie,0803024,miasto w gminie miejsko-wiejskiej
Międzyzdroje - miasto (4),miedzyzdroje-miasto-4,zachodniopomorskie,3207044,miasto w gminie miejsko-wiejskiej
Miękinia - miasto (4),miekinia-miasto-4,dolnośląskie,0218034,miasto w gminie miejsko-wiejskiej
Miłakowo - miasto (4),milakowo-miasto-4,warmińsko-mazurskie,2815064,miasto w gminie miejsko-wiejskiej
Miłomłyn - miasto (4),milomlyn-miasto-4,warmińsko-mazurskie,2815074,miasto w gminie miejsko-wiejskiej
Miłosław - miasto (4),miloslaw-miasto-4,wielkopolskie,3030024,miasto w gminie miejsko-wiejskiej
Mińsk Mazowiecki (1),minsk-mazowiecki-1,mazowieckie,1412011,gmina miejska
Modliborzyce - miasto (4),modliborzyce-miasto-4,lubelskie,0605064,miasto w gminie miejsko-wiejskiej
Mogielnica - miasto (4),mogielnica-miasto-4,mazowieckie,1406074,miasto w gminie miejsko-wiejskiej
Mogilno - miasto (4),mogilno-miasto-4,kujawsko-pomorskie,0409034,miasto w gminie miejsko-wiejskiej
Morawica - miasto (4),morawica-miasto-4,świętokrzyskie,2604124,miasto w gminie miejsko-wiejskiej
Mordy - miasto (4),mordy-miasto-4,mazowieckie,1426054,miasto w gminie miejsko-wiejskiej
Moryń - miasto (4),moryn-miasto-4,zachodniopomorskie,3206064,miasto w gminie miejsko-wiejskiej
Morąg - miasto (4),morag-miasto-4,warmińsko-mazurskie,2815084,miasto w gminie miejsko-wiejskiej
Mosina - miasto (4),mosina-miasto-4,wielkopolskie,3021104,miasto w gminie miejsko-wiejskiej
Mońki - miasto (4),monki-miasto-4,podlaskie,2008064,miasto w gminie miejsko-wiejskiej
Mrocza - miasto (4),mrocza-miasto-4,kujawsko-pomorskie,0410024,miasto w gminie miejsko-wiejskiej
Mrozy - miasto (4),mrozy-miasto-4,mazowieckie,1412124,miasto w gminie miejsko-wiejskiej
Mrągowo (1),mragowo-1,warmińsko-mazurskie,2810011,gmina miejska
Mszana Dolna (1),mszana-dolna-1,małopolskie,1207021,gmina miejska
Mszczonów - miasto (4),mszczonow-miasto-4,mazowieckie,1438024,miasto w gminie miejsko-wiejskiej
Murowana Goślina - miasto (4),murowana-goslina-miasto-4,wielkopolskie,3021114,miasto w gminie miejsko-wiejskiej
Muszyna - miasto (4),muszyna-miasto-4,małopolskie,1210114,miasto w gminie miejsko-wiejskiej
Myszków (1),myszkow-1,śląskie,2409011,gmina miejska
Myszyniec - miasto (4),myszyniec-miasto-4,mazowieckie,1415084,miasto w gminie miejsko-wiejskiej
Mysłowice (1),myslowice-1,śląskie,2470011,gmina miejska
Myślenice - miasto (4),myslenice-miasto-4,małopolskie,1209034,miasto w gminie miejsko-wiejskiej
Myślibórz - miasto (4),mysliborz-miasto-4,zachodniopomorskie,3210044,miasto w gminie miejsko-wiejskiej
Mława (1),mlawa-1,mazowieckie,1413011,gmina miejska
Młynary - miasto (4),mlynary-miasto-4,warmińsko-mazurskie,2804064,miasto w gminie miejsko-wiejskiej
Nakło nad Notecią - miasto (4),naklo-nad-notecia-miasto-4,kujawsko-pomorskie,0410034,miasto w gminie miejsko-wiejskiej
Namysłów - miasto (4),namyslow-miasto-4,opolskie,1606024,miasto w gminie miejsko-wiejskiej
Narol - miasto (4),narol-miasto-4,podkarpackie,1809054,miasto w gminie miejsko-wiejskiej
Nasielsk - miasto (4),nasielsk-miasto-4,mazowieckie,1414044,miasto w gminie miejsko-wiejskiej
Nałęczów - miasto (4),naleczow-miasto-4,lubelskie,0614084,miasto w gminie miejsko-wiejskiej
Nekla - miasto (4),nekla-miasto-4,wielkopolskie,3030034,miasto w gminie miejsko-wiejskiej
Nidzica - miasto (4),nidzica-miasto-4,warmińsko-mazurskie,2811044,miasto w gminie miejsko-wiejskiej
Niemcza - miasto (4),niemcza-miasto-4,dolnośląskie,0202074,miasto w gminie miejsko-wiejskiej
Niemodlin - miasto (4),niemodlin-miasto-4,opolskie,1609074,miasto w gminie miejsko-wiejskiej
Niepołomice - miasto (4),niepolomice-miasto-4,małopolskie,1219044,miasto w gminie miejsko-wiejskiej
Nieszawa (1),nieszawa-1,kujawsko-pomorskie,0401031,gmina miejska
Nisko - miasto (4),nisko-miasto-4,podkarpackie,1812054,miasto w gminie miejsko-wiejskiej
Nowa Dęba - miasto (4),nowa-deba-miasto-4,podkarpackie,1820044,miasto w gminie miejsko-wiejskiej
Nowa Ruda (1),nowa-ruda-1,dolnośląskie,0208041,gmina miejska
Nowa Sarzyna - miasto (4),nowa-sarzyna-miasto-4,podkarpackie,1808054,miasto w gminie miejsko-wiejskiej
Nowa Sól (1),nowa-sol-1,lubuskie,0804011,gmina miejska
Nowa Słupia - miasto (4),nowa-slupia-miasto-4,świętokrzyskie,2604134,miasto w gminie miejsko-wiejskiej
Nowe - miasto (4),nowe-miasto-4,kujawsko-pomorskie,0414064,miasto w gminie miejsko-wiejskiej
Nowe Brzesko - miasto (4),nowe-brzesko-miasto-4,małopolskie,1214034,miasto w gminie miejsko-wiejskiej
Nowe Miasteczko - miasto (4),nowe-miasteczko-miasto-4,lubuskie,0804064,miasto w gminie miejsko-wiejskiej
Nowe Miasto - miasto (4),nowe-miasto-miasto-4,mazowieckie,1420084,miasto w gminie miejsko-wiejskiej
Nowe Miasto Lubawskie (1),nowe-miasto-lubawskie-1,warmińsko-mazurskie,2812011,gmina miejska
Nowe Miasto nad Pilicą - miasto (4),nowe-miasto-nad-pilica-miasto-4,mazowieckie,1406084,miasto w gminie miejsko-wiejskiej
Nowe Skalmierzyce - miasto (4),nowe-skalmierzyce-miasto-4,wielkopolskie,3017024,miasto w gminie miejsko-wiejskiej
Nowe Warpno - miasto (4),nowe-warpno-miasto-4,zachodniopomorskie,3211034,miasto w gminie miejsko-wiejskiej
Nowogard - miasto (4),nowogard-miasto-4,zachodniopomorskie,3204044,miasto w gminie miejsko-wiejskiej
Nowogrodziec - miasto (4),nowogrodziec-miasto-4,dolnośląskie,0201044,miasto w gminie miejsko-wiejskiej
Nowogród - miasto (4),nowogrod-miasto-4,podlaskie,2007044,miasto w gminie miejsko-wiejskiej
Nowogród Bobrzański - miasto (4),nowogrod-bobrzanski-miasto-4,lubuskie,0809054,miasto w gminie miejsko-wiejskiej
Nowy Dwór Gdański - miasto (4),nowy-dwor-gdanski-miasto-4,pomorskie,2210024,miasto w gminie miejsko-wiejskiej
Nowy Dwór Mazowiecki (1),nowy-dwor-mazowiecki-1,mazowieckie,1414011,gmina miejska
Nowy Korczyn - miasto (4),nowy-korczyn-miasto-4,świętokrzyskie,2601034,miasto w gminie miejsko-wiejskiej
Nowy Staw - miasto (4),nowy-staw-miasto-4,pomorskie,2209074,miasto w gminie miejsko-wiejskiej
Nowy Sącz (1),nowy-sacz-1,małopolskie,1262011,gmina miejska
Nowy Targ (1),nowy-targ-1,małopolskie,1211011,gmina miejska
Nowy Tomyśl - miasto (4),nowy-tomysl-miasto-4,wielkopolskie,3015044,miasto w gminie miejsko-wiejskiej
Nowy Wiśnicz - miasto (4),nowy-wisnicz-miasto-4,małopolskie,1201064,miasto w gminie miejsko-wiejskiej
Nysa - miasto (4),nysa-miasto-4,opolskie,1607054,miasto w gminie miejsko-wiejskiej
Oborniki - miasto (4),oborniki-miasto-4,wielkopolskie,3016014,miasto w gminie miejsko-wiejskiej
Oborniki Śląskie - miasto (4),oborniki-slaskie-miasto-4,dolnośląskie,0220014,miasto w gminie miejsko-wiejskiej
Obrzycko (1),obrzycko-1,wielkopolskie,3024011,gmina miejska
Odolanów - miasto (4),odolanow-miasto-4,wielkopolskie,3017034,miasto w gminie miejsko-wiejskiej
Odrzywół - miasto (4),odrzywol-miasto-4,mazowieckie,1423044,miasto w gminie miejsko-wiejskiej
Ogrodzieniec - miasto (4),ogrodzieniec-miasto-4,śląskie,2416064,miasto w gminie miejsko-wiejskiej
Okonek - miasto (4),okonek-miasto-4,wielkopolskie,3031054,miasto w gminie miejsko-wiejskiej
Olecko - miasto (4),olecko-miasto-4,warmińsko-mazurskie,2813044,miasto w gminie miejsko-wiejskiej
Olesno - miasto (4),olesno-miasto-4,opolskie,1608034,miasto w gminie miejsko-wiejskiej
Oleszyce - miasto (4),oleszyce-miasto-4,podkarpackie,1809064,miasto w gminie miejsko-wiejskiej
Oleśnica (1),olesnica-1,dolnośląskie,0214011,gmina miejska
Oleśnica - miasto (4),olesnica-miasto-4,świętokrzyskie,2612034,miasto w gminie miejsko-wiejskiej
Olkusz - miasto (4),olkusz-miasto-4,małopolskie,1212054,miasto w gminie miejsko-wiejskiej
Olsztyn (1),olsztyn-1,warmińsko-mazurskie,2862011,gmina miejska
Olsztyn - miasto (4),olsztyn-miasto-4,śląskie,2404124,miasto w gminie miejsko-wiejskiej
Olsztynek - miasto (4),olsztynek-miasto-4,warmińsko-mazurskie,2814094,miasto w gminie miejsko-wiejskiej
Olszyna - miasto (4),olszyna-miasto-4,dolnośląskie,0210054,miasto w gminie miejsko-wiejskiej
Opalenica - miasto (4),opalenica-miasto-4,wielkopolskie,3015054,miasto w gminie miejsko-wiejskiej
Opatowiec - miasto (4),opatowiec-miasto-4,świętokrzyskie,2603044,miasto w gminie miejsko-wiejskiej
Opatów - miasto (4),opatow-miasto-4,świętokrzyskie,2606044,miasto w gminie miejsko-wiejskiej
